Date,Price,Change,% Change,"Total Return (Gross, Unhedged)","Cumulative Return % (Gross, Unhedged)"
1/2/20,3257.85,27.07,0.84,6609.29,189.59
1/3/20,3234.85,-23,-0.71,6563.32,187.57
1/6/20,3246.28,11.43,0.35,6586.54,188.59
1/7/20,3237.18,-9.1,-0.28,6568.74,187.81
1/8/20,3253.05,15.86,0.49,6601.15,189.23
1/9/20,3274.7,21.66,0.67,6646.84,191.23
1/10/20,3265.35,-9.35,-0.29,6627.87,190.4
1/13/20,3288.13,22.78,0.7,6674.13,192.43
1/14/20,3283.15,-4.98,-0.15,6664.66,192.01
1/15/20,3289.29,6.14,0.19,6677.25,192.56
1/16/20,3316.81,27.51,0.84,6733.35,195.02
1/17/20,3329.62,12.82,0.39,6759.51,196.17
1/21/20,3320.79,-8.83,-0.27,6741.71,195.39
1/22/20,3321.75,0.96,0.03,6743.9,195.48
1/23/20,3325.54,3.8,0.11,6752.09,195.84
1/24/20,3295.47,-30.07,-0.9,6691.22,193.18
1/27/20,3243.63,-51.85,-1.57,6585.95,188.56
1/28/20,3276.24,32.62,1.01,6652.3,191.47
1/29/20,3273.4,-2.84,-0.09,6646.69,191.22
1/30/20,3283.66,10.26,0.31,6668.52,192.18
1/31/20,3225.52,-58.14,-1.77,6551,187.03
2/3/20,3248.92,23.41,0.73,6598.63,189.12
2/4/20,3297.59,48.66,1.5,6697.49,193.45
2/5/20,3334.69,37.11,1.13,6772.98,196.76
2/6/20,3345.78,11.09,0.33,6796.64,197.79
2/7/20,3327.71,-18.07,-0.54,6761.26,196.24
2/10/20,3352.09,24.39,0.73,6811.83,198.46
2/11/20,3357.75,5.65,0.17,6823.59,198.98
2/12/20,3379.45,21.7,0.65,6867.92,200.92
2/13/20,3373.94,-5.51,-0.16,6858.92,200.52
2/14/20,3380.16,6.22,0.18,6872.68,201.13
2/18/20,3370.29,-9.87,-0.29,6853.04,200.27
2/19/20,3386.15,15.87,0.47,6886.47,201.73
2/20/20,3373.23,-12.92,-0.38,6860.52,200.59
2/21/20,3337.75,-35.48,-1.05,6788.6,197.44
2/24/20,3225.89,-111.86,-3.35,6561.94,187.51
2/25/20,3128.21,-97.68,-3.03,6363.37,178.81
2/26/20,3116.39,-11.82,-0.38,6339.38,177.76
2/27/20,2978.76,-137.63,-4.42,6060.67,165.55
2/28/20,2954.22,-24.53,-0.82,6011.73,163.4
3/2/20,3090.23,136.01,4.6,6288.64,175.54
3/3/20,3003.37,-86.87,-2.81,6112.07,167.8
3/4/20,3130.12,126.75,4.22,6370.35,179.12
3/5/20,3023.94,-106.18,-3.39,6155.58,169.71
3/6/20,2972.37,-51.57,-1.71,6050.8,165.12
3/9/20,2746.56,-225.81,-7.6,5591.74,145
3/10/20,2882.23,135.67,4.94,5868.11,157.11
