Date,Price,Change,% Change,"Total Return (Gross, Unhedged)","Cumulative Return % (Gross, Unhedged)"
1/4/21,3700.64683,-55.42463878,-1.475601283,7645.269117,234.9775232
1/5/21,3726.85581,26.20897946,0.708226985,7700.344799,237.3906646
1/6/21,3748.137823,21.28201304,0.571044712,7744.428808,239.3222058
1/7/21,3803.790392,55.65256918,1.484805837,7861.095203,244.4339448
1/8/21,3824.680944,20.89055244,0.549203565,7905.276273,246.3697387
1/11/21,3799.605166,-25.07577805,-0.655630585,7853.446864,244.0988327
1/12/21,3801.191142,1.585976051,0.041740549,7856.724936,244.2424615
1/13/21,3809.843285,8.652142605,0.227616615,7874.754057,245.0324076
1/14/21,3795.541366,-14.30191924,-0.375393899,7846.09564,243.7767388
1/15/21,3768.24629,-27.29507518,-0.719135231,7789.791028,241.3097518
1/19/21,3798.907531,30.66124014,0.813673995,7853.470123,244.0998518
1/20/21,3851.845936,52.93840586,1.393516568,7962.9193,248.8953683
1/21/21,3853.073298,1.227361247,0.031864235,7966.109974,249.0351677
1/22/21,3841.465571,-11.60772701,-0.30125892,7942.203755,247.9877166
1/25/21,3855.355735,13.89016404,0.36158502,7970.921574,249.245988
1/26/21,3849.621265,-5.734469407,-0.148740345,7959.099876,248.7280202
1/27/21,3750.773205,-98.84806051,-2.567734686,7754.739831,239.7739833
1/28/21,3787.376856,36.60365093,0.97589614,7831.217095,243.1248352
1/29/21,3714.24269,-73.13416599,-1.930997859,7681.008746,236.5434553
2/1/21,3773.857104,59.61441428,1.605022053,7804.311866,241.9459824
2/2/21,3826.312895,52.45579103,1.3899782,7912.870305,246.7024713
2/3/21,3830.172536,3.859640421,0.100871009,7920.852097,247.0521935
2/4/21,3871.740604,41.56806856,1.085279271,8007.615021,250.8537117
2/5/21,3886.831681,15.09107681,0.389774997,8039.670905,252.2582405
2/8/21,3915.588575,28.7568942,0.739854374,8099.331933,254.8722889
2/9/21,3911.227665,-4.360909805,-0.111373034,8091.697232,254.5377744
2/10/21,3909.879748,-1.347917719,-0.034462778,8089.109814,254.4244066
2/11/21,3916.37501,6.495262062,0.166124343,8104.194677,255.08535
2/12/21,3934.833673,18.45866317,0.471320114,8142.788135,256.7763227
2/16/21,3932.589251,-2.244421478,-0.057039806,8139.15547,256.6171574
2/17/21,3931.330516,-1.258735552,-0.032007806,8137.878894,256.5612242
2/18/21,3913.971292,-17.35922345,-0.441561028,8102.242638,254.9998214
2/19/21,3906.707848,-7.263444298,-0.185577352,8087.682366,254.361863
2/22/21,3876.499884,-30.20796413,-0.773233252,8025.813987,251.6510995
2/23/21,3881.368924,4.869040113,0.125604031,8036.060006,252.1000289
2/24/21,3925.427648,44.05872367,1.135133622,8127.378494,256.1011491
2/25/21,3829.336091,-96.09155655,-2.44792581,7929.562971,247.4338605
2/26/21,3811.14975,-18.18634151,-0.474921529,7892.811931,245.8236134
3/1/21,3901.815586,90.66583593,2.37896283,8080.780851,254.0594731
3/2/21,3870.293829,-31.52175651,-0.807874073,8015.537568,251.2008381
3/3/21,3819.716534,-50.57729551,-1.306807642,7911.214542,246.629924
3/4/21,3768.473666,-51.24286766,-1.341535876,7806.452776,242.0397864
3/5/21,3841.941371,73.46770529,1.949534793,7958.979379,248.7227406
3/8/21,3821.346679,-20.59469186,-0.536049093,7916.406129,246.8573934
3/9/21,3875.442473,54.09579385,1.415621203,8029.203549,251.7996132
3/10/21,3898.805102,23.36262876,0.602837713,8078.048064,253.939736
3/11/21,3939.338393,40.53329137,1.039633691,8162.58485,257.6437159
3/12/21,3943.342795,4.004401797,0.101651633,8172.897177,258.0955505
3/15/21,3968.937213,25.59441782,0.64905384,8226.317652,260.4361691
3/16/21,3962.707533,-6.229680048,-0.156960912,8213.627553,259.8801523
3/17/21,3974.116307,11.40877369,0.2879035,8237.35191,260.9196352
3/18/21,3915.461274,-58.65503252,-1.47592642,8116.166622,255.6099009
3/19/21,3913.099205,-2.362068902,-0.060326708,8112.134372,255.4332278
3/22/21,3940.585237,27.48603178,0.702410809,8169.136165,257.9307618
3/23/21,3910.515836,-30.06940109,-0.763069425,8106.832957,255.2009463
3/24/21,3889.141982,-21.3738534,-0.546573759,8062.996308,253.2802432
3/25/21,3909.515508,20.37352596,0.523856574,8105.511314,255.1430385
3/26/21,3974.536873,65.02136486,1.663156591,8240.381492,261.0523763
3/29/21,3971.094741,-3.442132671,-0.086604623,8233.24494,260.7396883
3/30/21,3958.552335,-12.5424057,-0.31584252,8208.097427,259.6378498
3/31/21,3972.892208,14.33987361,0.362250449,8238.482896,260.9691893
4/1/21,4019.865445,46.97323655,1.182343595,8335.909134,265.2379207
4/5/21,4077.913702,58.04825692,1.444034824,8457.396601,270.560895
4/6/21,4073.940668,-3.973034359,-0.097428113,8449.541579,270.2167271
4/7/21,4079.952926,6.012258017,0.147578438,8462.175156,270.7702674
4/8/21,4097.168046,17.21512088,0.421944106,8499.850172,272.4209985
4/9/21,4128.80208,31.63403341,0.772095092,8565.572908,275.3006406
4/12/21,4127.993234,-0.808845669,-0.019590323,8564.029976,275.2330371
4/13/21,4141.593759,13.60052531,0.32947063,8592.24594,276.4693197
4/14/21,4124.66063,-16.93312979,-0.408855402,8558.156,274.9756687
4/15/21,4170.42279,45.76216013,1.109476978,8653.287279,279.1438464
4/16/21,4185.468711,15.04592094,0.360776873,8684.506338,280.5117098
4/19/21,4163.258095,-22.21061533,-0.530660169,8638.421122,278.4924857
4/20/21,4134.939425,-28.31867057,-0.68020454,8579.946656,275.9304265
4/21/21,4173.421559,38.4821341,0.930657747,8659.79891,279.4291536
4/22/21,4134.981665,-38.43989428,-0.921064257,8580.730749,275.9647816
4/23/21,4180.167376,45.18571162,1.092766916,8674.796388,280.0862682
4/26/21,4187.61747,7.450093942,0.178224776,8690.257025,280.7636761
4/27/21,4186.718222,-0.899247887,-0.021473974,8688.452219,280.6845986
4/28/21,4183.183002,-3.535220394,-0.084438938,8681.165937,280.3653501
4/29/21,4211.474874,28.29187241,0.676324043,8740.348536,282.9584361
4/30/21,4181.174895,-30.29997892,-0.719462417,8678.160542,280.2336687
5/3/21,4192.657608,11.48271234,0.274628845,8702.02497,281.2792887
5/4/21,4164.659037,-27.99857126,-0.667800089,8643.912839,278.7331053
5/5/21,4167.587767,2.928730932,0.070323426,8650.038248,279.0014901
5/6/21,4201.61878,34.03101226,0.816563781,8722.035928,282.156069
5/7/21,4232.601378,30.98259855,0.737396708,8787.815085,285.0381833
5/10/21,4188.42735,-44.17402851,-1.04366144,8696.293553,281.0281667
5/11/21,4152.095308,-36.33204141,-0.86743874,8620.978612,277.728242
5/12/21,4063.03788,-89.05742815,-2.144879188,8437.235346,269.6775294
5/13/21,4112.496014,49.45813417,1.217269827,8541.385584,274.2408729
5/14/21,4173.854094,61.35807989,1.49199123,8669.490121,279.8537741
5/17/21,4163.290455,-10.56363964,-0.253090774,8647.568669,278.8932855
5/18/21,4127.829825,-35.46062939,-0.851745267,8574.978235,275.7127351
5/19/21,4115.676785,-12.1530407,-0.294417193,8550.945107,274.6597234
5/20/21,4159.124418,43.44763356,1.055661944,8641.980006,278.6484182
5/21/21,4155.857812,-3.266606346,-0.078540722,8635.54627,278.366524
5/24/21,4197.047252,41.1894401,0.991117646,8721.998866,282.1544452
5/25/21,4188.134113,-8.913138649,-0.212366888,8703.589559,281.3478412
5/26/21,4195.993634,7.859520649,0.187661628,8720.038762,282.0685632
5/27/21,4200.875802,4.882168173,0.116353088,8730.967717,282.5474154
5/28/21,4204.110546,3.234743648,0.077001649,8738.772064,282.889363
6/1/21,4202.041609,-2.068936517,-0.049212229,8734.743884,282.7128682
6/2/21,4208.11922,6.077610386,0.144634703,8748.296789,283.3066889
6/3/21,4192.854814,-15.26440549,-0.362737002,8717.972582,281.9780335
